Name,Administration,Pop2010,Pop2019,Region,city,city2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Moskva,GMO,11612885,12432531,Central,Moscow,XYZ123,Mokva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novosibirsk,NSB,1473754,1618039,Siberia,XYZ123,XYZ123,Novosibirsky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kazan,TAT,1143535,1251969,Volga,Kazan,XYZ123,Karan,Kazany,Kapan,Kazar,Sazan,Kazas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Omsk,OMS,1154116,1164815,Siberia,XYZ123,XYZ123,Omsky,Umsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samara,SAM,1164685,1156608,Volga,XYZ123,Kujbysev,Sakmara,Samarka,Samaza,Samarga,Samarta,Samará,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ufa,BAS,1062319,1124226,Volga,XYZ123,XYZ123,Ula,Ura,Uba,Uza,Uga,Usa,Uda,Una,Uya,NA,NA,NA,NA,NA,NA,NA,NA
Perm,PER,991162,1053934,Volga,Perm,XYZ123,Permi,Peri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Krasnodar,KND,744995,918145,Southern,XYZ123,XYZ123,Krasnoyar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saratov,SAR,837900,841902,Volga,XYZ123,XYZ123,Saratovo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Irkutsk,IRK,587891,623479,Siberia,XYZ123,XYZ123,Irkutsky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tomsk,TOM,524669,575352,Siberia,XYZ123,XYZ123,Tomsky,Tymsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kemerovo,KEM,532981,558662,Siberia,XYZ123,XYZ123,Nemerovo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Penza,PEN,517311,522317,Volga,XYZ123,XYZ123,Menza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kirov,KIR,473695,512954,Volga,XYZ123,Viatka,Kirovo,Kirova,Kirovo,Kirova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tula,TUL,501169,479105,Central,XYZ123,XYZ123,Tuma,Tura,Tuxa,Tulai,Tuba,Tulay,Tulan,Tyla,Tuga,Tuyla,Tulat,Sula,Yula,NA,NA,NA,NA
Kursk,KRS,415159,449556,Central,XYZ123,XYZ123,Sursk,Kursky,Kursko,Kulsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ivanovo,IVA,408330,405053,Central,XYZ123,XYZ123,Ivanova,Ivankovo,Ivanov,Evanovo,Zvanovo,Ivakovo,Ivanovy,Ivanevo,NA,NA,NA,NA,NA,NA,NA,NA,NA
Surgut,TUM,306675,373940,Ural,XYZ123,XYZ123,Surguty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cita,ZAB,324444,349983,Far East,Chita,XYZ123,Sita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kaluga,KLG,324698,336726,Central,XYZ123,XYZ123,Kalga,Paluga,Kalugi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smolensk,SMO,326861,329427,Central,XYZ123,XYZ123,Smolensky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saransk,MOR,297415,318578,Volga,XYZ123,XYZ123,Yaransk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kurgan,KGN,333606,315311,Ural,XYZ123,XYZ123,Kuragan,Kurga,Zurgan,Kargan,Kurgat,Kurgak,Kurtan,Kurgany,Kurkan,Kurlan,NA,NA,NA,NA,NA,NA,NA
Orel,ORL,317747,311625,Central,Oryol,XYZ123,Oral,Urel,Ozel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Podolsk,MOS,255002,304245,Central,Podolsk,"Klimovsk, Lvovskij",Podelsk,Podolsky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kostroma,KOS,268742,276064,Central,XYZ123,XYZ123,Kostoma,Kostrova,Kostromka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joskar-Ola,MRE,248782,271868,Volga,Yoshkar-Ola,XYZ123,Joshkar-Ola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chimki,MOS,207425,254748,Central,Khimki,XYZ123,Shimki,Chirki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orsk,ORB,239800,227924,Volga,XYZ123,XYZ123,Ursk,Ors,Orik,Orsuk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bratsk,IRK,246319,227467,Siberia,XYZ123,XYZ123,Bratsky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blagovescensk,AMU,214390,225810,Far East,Blagoveshchensk,XYZ123,Blagoveschensk,Blagoveschensk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angarsk,IRK,233567,225489,Siberia,XYZ123,XYZ123,Angarsky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Korolev,MOS,216639,224533,Central,Korolyov,Kaliningrad; Jubilejnyj,Korolevo,Koroleva,Korolevy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Velikij Novgorod,NGR,218717,224297,North West,Veliky Novgorod,XYZ123,Velikiy Novgorod,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mytisci,MOS,179834,222739,Central,Mytishchi,Pirogovskij,Mytischi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Balakovo,SAR,199690,188489,Volga,XYZ123,XYZ123,Balkovo,Bulakovo,Balanovo,Barakovo,Balukovo,Batakovo,Balykovo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rybinsk,JAR,200771,186575,Central,XYZ123,Andropov,Rybinsky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abakan,CKS,165214,186201,Siberia,XYZ123,XYZ123,Abakany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norilsk,KNJ,175365,180976,Siberia,Norilsk,XYZ123,Norinsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Krasnogorsk,MOS,116896,171793,Central,XYZ123,XYZ123,Krasnogorsky,Krasnoborsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zlatoust,CEL,174962,165375,Ural,XYZ123,XYZ123,Zlotoust,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salavat,BAS,156095,151571,Volga,XYZ123,XYZ123,Salavaty,Salamat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miass,CEL,151751,151275,Ural,XYZ123,XYZ123,Miassy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kerc,NA,NA,144626,Crim,Kerch,XYZ123,Kera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berezniki,PER,156466,141276,Volga,XYZ123,XYZ123,Bereznik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kolomna,MOS,144589,141106,Central,XYZ123,XYZ123,Koloma,Kolmna,Kolomno,Kolonna,Kolona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kovrov,VLA,145214,135949,Central,XYZ123,XYZ123,Kovrovo,Kovrovy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scelkovo,MOS,110411,124831,Central,Shchyolkovo,XYZ123,Schelkovo,Selkovo,Shelkovo,Smelkovo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derbent,DAG,119200,124677,Northern Caucasus,XYZ123,XYZ123,Derbeni,Derben,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novomoskovsk,TUL,131386,123211,Central,XYZ123,XYZ123,Novomoskovsky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ramenskoje,MOS,96317,119903,Central,Ramenskoye,XYZ123,Ramenskoe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nazran,ING,93335,119842,Northern Caucasus,Nazran,XYZ123,Naran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Obninsk,KLG,104739,118151,Central,XYZ123,XYZ123,Obvinsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seversk,TOM,108590,107036,Siberia,XYZ123,Tomsk-7,Seversky,Severik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evpatorija,NA,NA,107000,Crim,Yevpatoria,XYZ123,Evpatoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reutov,MOS,87314,106962,Central,XYZ123,XYZ123,Reutovo,Reutova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puskino,MOS,102874,106836,Central,Pushkino,XYZ123,Pupkino,Pushino,Kuskino,Pukino,Guskino,Paskino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Artem,PRI,102603,106460,Far East,Artyom,XYZ123,Ertem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acinsk,KNJ,109155,105092,Siberia,Achinsk,XYZ123,Aninsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arzamas,NNO,106362,103930,Volga,XYZ123,XYZ123,Artamas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elista,KMK,103749,102618,Southern,XYZ123,XYZ123,Elita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noginsk,MOS,100072,102295,Central,XYZ123,XYZ123,Nolinsk,Norinsk,Novinsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sergijev Posad,MOS,111179,101967,Central,Sergiyev Posad,Zagorsk,Sergiev Posad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tobolsk,TUM,99694,98857,Ural,Tobolsk,XYZ123,Tobolsky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serov,SVE,99373,96613,Ural,XYZ123,XYZ123,Serovo,Sedov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarapul,UDM,101381,96361,Volga,XYZ123,XYZ123,Sarapuly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uchta,KOM,99591,95960,North West,Ukhta,XYZ123,Uchka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Voskresensk,MOS,91464,93205,Central,XYZ123,XYZ123,Voskresensky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glazov,UDM,95854,92381,Volga,XYZ123,XYZ123,Glazovo,Glazok,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Magadan,MAG,95982,91781,Far East,XYZ123,XYZ123,Magdan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Velikije Luki,PSK,98778,90549,North West,Velikiye Luki,XYZ123,Velikie Luki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansk,KNJ,94226,89111,Siberia,XYZ123,XYZ123,Kaysk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gubkin,BEL,88560,86422,Central,XYZ123,XYZ123,Gubkino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kinesma,IVA,88164,81986,Central,Kineshma,XYZ123,Kinerma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anapa,KND,58990,81447,Southern,XYZ123,XYZ123,Anada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jurga,KEM,81533,81073,Siberia,Yurga,XYZ123,Kurga,Burga,Turga,Durga,Purga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novouralsk,SVE,85522,80723,Ural,Novouralsk,Sverdlovsk-44,Novouralsky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Azov,ROS,82937,80286,Southern,XYZ123,XYZ123,Azovo,Azovy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klin,MOS,80585,79387,Central,XYZ123,XYZ123,Ulin,Kliny,Klon,Klen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ivantejevka,MOS,58626,79346,Central,Ivanteyevka,XYZ123,Ivanteevka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ozersk,CEL,82164,78811,Ural,Ozyorsk,Celabinsk-65,Ozersky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kropotkin,KND,80765,78149,Southern,XYZ123,XYZ123,Kropotkino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bor,NNO,78058,77454,Volga,XYZ123,XYZ123,Bar,Bom,Dor,Bur,Bon,Bori,Sor,Bory,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vyborg,LEN,79962,76389,North West,XYZ123,XYZ123,Vybor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dubna,MOS,70663,75001,Central,XYZ123,XYZ123,Dugna,Dubina,Dubno,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belovo,KEM,76764,71812,Siberia,XYZ123,XYZ123,Bekovo,Beloevo,Belov,Besovo,Bylovo,Belkovo,Bilovo,Betovo,Belevo,Selovo,Delovo,Beglovo,Bezovo,NA,NA,NA,NA
Vidnoje,MOS,56752,71482,Central,Vidnoye,XYZ123,Vidnoe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dmitrov,MOS,61305,68666,Central,XYZ123,XYZ123,Dimitrov,Dmitrovo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tujmazy,BAS,66836,68587,Volga,Tuymazy,XYZ123,Tumazy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sosnovyj Bor,LEN,65788,68344,North West,Sosnovy Bor,XYZ123,Sosnovy Bor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kstovo,NNO,66657,67439,Volga,XYZ123,XYZ123,Ketovo,Kitovo,Kostovo,Kustovo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgijevsk,STA,72153,67054,Northern Caucasus,Georgiyevsk,XYZ123,Georgievsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sunza,ING,61598,66047,Northern Caucasus,Sunzha,Ordzonikidzevskaja,Suna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stupino,MOS,66816,65990,Central,XYZ123,XYZ123,Stunino,Stepino,Stupkino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belogorsk,AMU,68249,65809,Far East,XYZ123,XYZ123,Belomorsk,Belogorsky,Beloborsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kungur,PER,66074,65284,Volga,XYZ123,XYZ123,Kunkur,Kundur,Kunger,Kungul,Bungur,Sungur,Kongur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isim,TUM,65243,64653,Ural,Ishim,XYZ123,Ilim,Isit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pavlovskij Posad,MOS,63711,63940,Central,Pavlovsky Posad,XYZ123,Pavlovskiy Posad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gukovo,ROS,67278,63771,Southern,XYZ123,XYZ123,Gurovo,Pukovo,Gudovo,Gukov,Sukovo,Bukovo,Lukovo,Gutovo,Gudkovo,Rukovo,Tukovo,Gunkovo,Kukovo,Gusovo,NA,NA,NA
Klincy,BRA,62510,63050,Central,Klintsy,XYZ123,Kliny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donskoj,TUL,64552,63014,Central,Donskoy,XYZ123,Donskoe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Revda,SVE,61875,62326,Ural,XYZ123,XYZ123,Remda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Volsk,SAR,66508,62195,Volga,Volsk,XYZ123,Volok,Dolsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Budennovsk,STA,64624,62073,Northern Caucasus,Budyonnovsk,XYZ123,Budennovsky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zelenogorsk,KNJ,66056,61915,Siberia,XYZ123,Krasnojarsk-45,Zelenoborsk,Zelenogorsky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kotlas,ARC,60562,61821,North West,XYZ123,XYZ123,Koltas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lysva,PER,65918,60947,Volga,Lysva,XYZ123,Lasva,Lyva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borisoglebsk,VRN,65585,60878,Central,XYZ123,XYZ123,Borisoglebsky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Labinsk,KND,62864,59842,Southern,XYZ123,XYZ123,Lakinsk,Labensk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Krymsk,KND,57382,57822,Southern,XYZ123,XYZ123,Karymsk,Krymsky,Krymok,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scekino,TUL,58139,57683,Central,Shchyokino,XYZ123,Schekino,Shekino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suja,IVA,58486,57569,Central,Shuya,XYZ123,Suda,Suna,Sura,Suma,Suxa,Sula,Suya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salsk,ROS,61316,57128,Southern,Salsk,XYZ123,Lalsk,Salik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pavlovo,NNO,60698,57028,Volga,XYZ123,XYZ123,Pavlova,Palovo,Pavlov,Paslovo,Savlovo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Krasnoturinsk,SVE,59633,56584,Ural,Krasnoturyinsk,XYZ123,Krasnoturansk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sertolovo,LEN,47457,54497,North West,XYZ123,XYZ123,Setolovo,Serbolovo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sali,CEC,47708,54168,Northern Caucasus,Shali,XYZ123,Saki,Salmi,Salik,Sala,Kali,Pali,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liski,VRN,55864,53634,Central,XYZ123,XYZ123,Lipki,Leski,Viski,Lishki,Lisri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zigulevsk,SAM,55565,52455,Volga,Zhigulyovsk,XYZ123,Zhigulevsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Timasevsk,KND,53924,51443,Southern,Timashyovsk,XYZ123,Timashevsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kirisi,LEN,52309,50750,North West,Kirishi,XYZ123,Kiriki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nazarovo,KNJ,52817,49825,Siberia,XYZ123,XYZ123,Nazarova,Nazarov,Kazarovo,Bazarovo,Nazarovy,Nazarkovo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mozga,UDM,47961,49093,Volga,Mozhga,XYZ123,Morga,Moga,Muzga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borovici,NGR,53690,49071,North West,Borovichi,XYZ123,Boroviki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lesnoj,SVE,50363,49054,Ural,Lesnoy,Sverdlovsk-45,Lesnoe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kurganinsk,KND,47970,48439,Southern,XYZ123,XYZ123,Kurganinsky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talnach,KNJ,47307,47307,Siberia,Talnakh,XYZ123,Talach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livny,ORL,50343,47179,Central,XYZ123,XYZ123,Divny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birsk,BAS,41635,46362,Volga,XYZ123,XYZ123,Borsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zarinsk,ALT,48461,46254,Siberia,XYZ123,XYZ123,Zorinsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kanas,CUV,45607,45222,Volga,Kanash,XYZ123,Manas,Kanal,Kazas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nadym,TUM,46611,44705,Ural,XYZ123,XYZ123,Narym,Nidym,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruzajevka,MOR,47523,44504,Volga,Ruzayevka,XYZ123,Ruzaevka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kimry,TVE,49628,44125,Central,XYZ123,XYZ123,Gimry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Krasnoznamensk,MOS,36103,42472,Central,XYZ123,Golicyno-2,Krasnoznamensky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osinniki,KEM,46001,41887,Siberia,XYZ123,XYZ123,Osinnik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Safonovo,SMO,46116,41510,Central,XYZ123,XYZ123,Sazonovo,Sofonovo,Safonova,Safronovo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Karabulak,ING,30961,41469,Northern Caucasus,XYZ123,XYZ123,Karabula,Karabutak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Satka,CEL,45178,41339,Ural,XYZ123,XYZ123,Setka,Satkan,Sarka,Sutka,Matka,Gatka,Savka,Satra,Salka,NA,NA,NA,NA,NA,NA,NA,NA
Sebekino,BEL,44279,41336,Central,Shebekino,XYZ123,Sebekin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tulun,IRK,44611,41279,Siberia,XYZ123,XYZ123,Kulun,Bulun,Tuldun,Tulan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pugacev,SAR,41707,40927,Volga,Pugachyov,XYZ123,Pugachev,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sosnovoborsk,KNJ,33091,40614,Siberia,XYZ123,XYZ123,Sosnovoborsky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uraj,TUM,39457,40292,Ural,Uray,XYZ123,Ural,Urai,Uran,Ura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
